""|"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"txt"
"0"|""|"00:00:00.240"|"00:00:57.420"|"0.24"|"57.42"|"57.18"|"Do roku 2169 ludzie są genetycznie modyfikowani, aby zatrzymać starzenie się po ukończeniu dwudziestego piątego roku życia. Gdy to się stanie, na ich ramieniu pojawi się minutnik, na którym pozostanie tylko rok. Aby dalej żyć, muszą pracować, ponieważ czas jest teraz walutą społeczeństwa. Oznacza to, że bogaci ludzie są w rzeczywistości nieśmiertelni. Kraj został podzielony na obszary zwane „strefami czasowymi”, aby oddzielić różne klasy, przy czym najbogatszym obszarem jest „New Greenwich”. Tymczasem w getcie Will mieszka ze swoją matką Rachel w maleńkim mieszkanku i prawie nie mają pieniędzy na przeżycie każdego dnia. Will chce zarobić trochę pieniędzy , walcząc na czas, ale Rachel zabrania tego, bo to nigdy nie kończy się dobrze. To nie powstrzymuje Willa przed byciem hojną osobą, a ilekroć wpada na młodą Mayę na ulicy, poświęca jej trochę swojego czasu, aby ona też mogła przeżyć. Will i jego najlepszy przyjaciel Borel pracują w miejscowej fabryce, gdzie zawsze podnoszą ceny przekąsek i często można znaleźć martwych ludzi, którzy przeleżeli czas na podłodze. Wszyscy otrzymują wynagrodzenie za dzień, ale fabryka zawsze wymyśla wymówkę, dlaczego ich pracownicy nie wywiązują się z przydziału i płacą im mniej. Pewnego wieczoru Will idzie do baru, w którym uprawiał hazard, aby dostać godzinę, którą facet był"
"1"|""|"00:00:57.420"|"00:02:00.600"|"57.42"|"120.6"|"63.18"|"mu winien. Spotyka też Borela, który szczęśliwie upija się dzięki wariatowi, który wszystkim stawia drinki. Ten facet to Henry, którego licznik czasu ma całe stulecie. Will nie rozumie, co tu robi bogacz, i próbuje go ostrzec przed Minutemanami, grupą gangsterów kradnących czas innych ludzi, ale Henry nie słucha. Tak jak obawia się Will, pojawia się przywódca gangu Fortis i prosi Henry’ego o pojedynek na czas. Wszyscy inni w barze uciekają z wyjątkiem Willa, który na wszelki wypadek chowa się z tyłu . Henry przyjmuje wyzwanie, ale najpierw prosi o chwilę w łazience. Jedzie z nim tylko jeden strażnik, więc Will wykorzystuje szansę, by ogłuszyć gangstera i uciec z Henrym tylnymi drzwiami. Zbiegają kilka przecznic dalej i chowają się w opuszczonej fabryce, którą Will zamyka od wewnątrz, aby zapewnić sobie bezpieczeństwo na noc. Will zastanawia się, co bogacz robi w getcie, a Henry przyznaje, że opuścił New Greenwich, bo ma 105 lat i jest zmęczony życiem. Kiedy Will zwraca uwagę, że to głupie, Henry'ego rozbawia brak zrozumienia świata u chłopca. Wyjaśnia, że ​​koszty życia w getcie stale rosną , aby ludzie nadal umierali, ponieważ bogaci mogą żyć tylko wtedy, gdy umierają biedni. W końcu Henry i Will zasypiają, a rano Henry wykorzystuje to, że budzi się pierwszy, aby poświęcić cały swój czas Willowi, zachowując tylko pięć minut"
"2"|""|"00:02:00.600"|"00:03:04.260"|"120.6"|"184.26"|"63.66"|"dla siebie. Will budzi się wkrótce potem i znajduje w oknie wiadomość „nie marnuj mojego czasu”. Kiedy wygląda na zewnątrz, widzi Henry'ego siedzącego na moście tuż przed upływem limitu czasu. Nie zauważając, że wokół są kamery bezpieczeństwa , Will idzie na mostek, aby upewnić się, że Henry nie żyje, zanim ucieknie. Chwilę później Henry idzie do domu Borela, gdzie wpada na jego żonę Gretę i ich nowe dziecko. Henry rozmawia z Borelem na osobności i wręcza mu dekadę, co odpowiada dziesięciu latom ich znajomości. Wieczorem Henry idzie czekać na swoją mamę na przystanku autobusowym, ale ona nigdy nie przyjeżdża. Okazuje się, że Rachel zostało tylko półtorej godziny, a bilet na autobus po południu podrożał, więc teraz nie może sobie na to pozwolić. Powrót do domu to dwie godziny marszu , co oznacza, że ​​Rachel musi biec, jeśli chce znowu zobaczyć syna. Will też zaczyna biec, gdy zdaje sobie sprawę, co się dzieje. Matka i syn zderzają się ze sobą na środku ulicy, ale niestety jest już za późno i Rachel w ramionach Willa traci czas. Następnego ranka policja znana jako Strażnicy Czasu znajduje w rzece ciało Henry'ego. Agent Leon jest pewien, że został zamordowany za swój czas i nakazuje swoim ludziom sprawdzić nagrania z monitoringu. Z powodu kąta nachylenia kamer nie widzą spadającego ciała, ale widzą twarz Willa i zakładają, że to on stoi za"
"3"|""|"00:03:04.260"|"00:04:06.960"|"184.26"|"246.96"|"62.7"|"śmiercią Henry’ego. Tymczasem Will chce pomścić śmierć swojej matki . Wynajmuje limuzynę udającą bogatego faceta, który się zgubił i każe kierowcy zawieźć go do New Greenwich, co wiąże się z koniecznością uiszczenia bardzo wysokiej opłaty za każde przekroczenie granicy. Po dotarciu do miasta zatrzymuje się w ładnym hotelu, a jego obecność zostaje zauważona przez towarzyską Sylvię. Po odpoczynku Will je coś, podczas gdy Sylvia obserwuje go z daleka. Kelnerka może powiedzieć Willowi, że nie jest stąd, ale traktuje go dobrze, ponieważ hojnie daje jej napiwki, a także zwraca uwagę, że jeśli Will idzie do kasyna, będzie potrzebował lepszych ubrań. Fakt, że Will przekroczył tak wiele stref czasowych w ciągu kilku godzin, wydaje się podejrzany w systemie, umożliwiając sędziom czasowym znalezienie jego aktualnej lokalizacji. Leon zdaje sobie również sprawę, że w przeszłości ścigał ojca Willa. Wieczorem Will kupuje porządny garnitur i idzie do kasyna, gdzie proszą o „dobrowolną darowiznę” na rok, ponieważ nie jest jego członkiem. Will siada do pokera, gdzie spotyka pana Weisa, pożyczającego czas biznesmena, który nie waha się obstawiać dużych ilości czasu. Sylvia, która jest córką Weisa, również podchodzi do stołu, ale tylko po to, żeby popatrzeć, a Will ma na nią oko, podejmując ryzyko i obstawiając wszystko, co ma. Okazuje się, że warto, ponieważ Will wygrywa grę, co robi wrażenie na Weisie i zdobywa zaproszenie na kolejną imprezę."
"4"|""|"00:04:06.960"|"00:05:10.980"|"246.96"|"310.98"|"64.02"|"Następnego dnia Will kupuje bardzo drogi samochód i jedzie nim na przyjęcie Weisa. Sylvia jest bardzo ciekawa Willa i zaprasza go do tańca, mówiąc, że widzi, że prawdopodobnie pochodzi z getta. Przyznaje, że czasami zazdrości ludziom z getta, bo żyje zawsze w otoczeniu strażników ojca, bez prawdziwej wolności i marzy, żeby zrobić coś głupiego lub coś wartościowego. Will ciągnie ją na plażę za domem, żeby popływała nago, co powinno zostać uznane za coś głupiego. Sylvia początkowo się waha, ale wkrótce dołącza do niego w wodzie i rozmawiają o możliwości zrobienia jeszcze głupszych rzeczy. Kiedy ludzie zaczynają szukać Sylvii, ona ukrywa się z Willem w jaskini i prosi go, by wrócił, zanim wpadną w kłopoty. Para wraca do posiadłości różnymi drzwiami, aby uniknąć podejrzeń. Weis zaprasza Willa do gry w pokera, ale nagle przerywa im Chronometrażysta, który znalazł lokalizację Willa, śledząc zakup jego samochodu. Will zostaje zabrany do prywatnego biura na przesłuchanie, ale kiedy mówi im, że Henry celowo przekroczył limit czasu, nie wierzą mu i zabierają mu większość czasu, pozostawiając mu tylko dwie godziny na rezerwację i przetwarzanie. Leo mówi Willowi, że bardzo przypomina mu ojca, którego Will nie pamięta dobrze. Weis i Sylvia przychodzą sprawdzić sytuację, a Will wykorzystuje rozproszenie uwagi, by pobić sędziów mierzących czas i ukraść broń przed ucieczką."
"5"|""|"00:05:10.980"|"00:06:12.120"|"310.98"|"372.12"|"61.14"|"Używa broni, by złapać Sylvię jako swoją zakładniczkę, po czym biegną tylnymi drzwiami, by wyjechać samochodem Willa . Leon zaczyna gonić Willa po całym mieście, a nawet udaje mu się uderzyć w jego samochód od tyłu, ale Will reaguje, cofając się. W ostatniej sekundzie udaje mu się uniknąć ciężarówki, ale Leon nie reaguje tak szybko i zderza się z nią, co oznacza, że Willowi udaje się uciec. Gdy udają się do getta, Will prosi Sylvię o trochę czasu, ale ona odmawia mu pomocy. Kiedy docierają do mostu, Will zostaje rozproszony przez kamery bezpieczeństwa i nie widzi listwy z kolcami na ziemi, co powoduje awarię samochodu. Zarówno Will, jak i Sylvia tracą przytomność, a kilka minut później zostają odnalezieni przez Fortisa i jego ludzi, którzy natychmiast zaczynają kraść Sylvii czas. W tym momencie słychać zbliżające się syreny Strażników Czasu i gangsterzy uciekają, zostawiając Sylvii tylko pół godziny. Kiedy się budzą, Sylvia wpada w panikę na myśl o małej ilości czasu, która jej pozostała, i prosi Willa o pomoc. Will uważa za ironię, że teraz opowiada się za dzieleniem się, ale i tak jej pomaga, zanim zabierze ją do miasta. Po ich wyjeździe przybywają sędziowie mierzący czas, aby skontrolować samochód, chociaż Leon najpierw musi poprosić o swoją dzienną wypłatę, ponieważ nigdy nie przewozi więcej czasu, niż to konieczne. Widząc sytuację,"
"6"|""|"00:06:12.120"|"00:07:15.420"|"372.12"|"435.42"|"63.3"|"Leon postanawia nie ścigać już Willa, ponieważ jest pewien, że skontaktuje się z nimi pierwszy. Will idzie do Borela, by poprosić o pomoc, ale Greta ma złe wieści Borel wypił tak dużo, że zmarł mając dziewięć lat przed końcem. Sylvia znów zaczyna panikować, ale Will zauważa, że ​​ma wymyślne kolczyki i ciągnie ją do lombardu. Właściciel jest bliski zamknięcia, ale robi wyjątek, gdy widzi, jak cenne są pierścionki. Zauważa też, jak bardzo desperacko brakuje im czasu i płaci im tylko dwa dni, które nie mają innego wyjścia, jak tylko zaakceptować, aby przeżyć. Następnie idą do automatu telefonicznego, a Will każe Sylvi wybrać numer telefonu jej domu, aby mógł porozmawiać z Leonem. W ramach okupu Will prosi o rozdzielenie tysiąca lat na Linie Czasu w getcie. Leon ostrzega Willa, że ​​za bardzo upodabnia się do swojego ojca, i wyjawia, że ​​mężczyzna nie zginął podczas walki na czas, jak myśli Will, ale w rzeczywistości robił coś bardziej niebezpiecznego. Will się rozłącza, a Leon mówi rodzicom Sylvii o okupie, ale Weis waha się, czy oddać nawet to, co dla niego jest kieszonkowe. Will zabiera Sylvię do swojego mieszkania, aby spędzić tam noc, a Sylvia przebiera się w stare ubrania Rachel. Sylvia pyta Willa o jego ojca, a Will wyjaśnia, że ​​jego tata był kiedyś świetnym zawodnikiem na czas, który nauczył go kilku sztuczek. Aby udowodnić swoją rację, chwyta Sylvię za ramię"
"7"|""|"00:07:15.420"|"00:08:18.480"|"435.42"|"498.48"|"63.06"|"i pokazuje mu, jak walczyć z czasem, to bitwa woli między chronometrażystami. Jego tata nauczył go, by przeciwnik myślał, że ma przewagę, a jego własny zegar prawie dochodził do zera, a kiedy przeciwnik jest rozproszony przez nadchodzącą śmierć, odwróć sytuację i weź wszystko. Will myślał, że jego tata zginął podczas walki na czas, ale teraz zdaje sobie sprawę, że prawdopodobnie zginął, ponieważ oddał to, co wygrał. Następnie Will i Sylvia opowiedzieli, co wydarzyło się w ich dwudzieste piąte urodziny licznik czasu Willa zaczął działać, gdy był na ulicy i szybko prawie stracił dodatkowy rok, ponieważ byli w długach. Dla kontrastu Sylvia miała spokojne przebudzenie w łóżku, a jej tata dał jej dekadę na świętowanie. Następnego ranka Will obserwuje z okna budynek Linii Czasu , ale niestety nie mają żadnej akcji charytatywnej, co oznacza, że ​​Weis nie zapłacił ramsonowi. Sylvia jest zraniona brakiem troski ojca, ale w końcu rozumie, że stał się bogaty , depcząc prawa innych ludzi. Will każe jej iść do domu, ale Sylvia odmawia, przez co zgadzają się na wspólną pracę i pocałunek. Sylvia chce jednak zadzwonić do domu, więc Will daje jej broń, by mogła się chronić, podczas gdy on patrzy z kąta. Weis szybko odbiera telefon od Sylvii i ignoruje jej obelgi, ostrzegając ją, że Strażnicy Czasu idą po nią. Kiedy Sylvia się odwraca, widzi Leona zbliżającego się do Willa, więc strzela mu w"
"8"|""|"00:08:18.480"|"00:09:17.940"|"498.48"|"557.94"|"59.46"|"ramię. Will korzysta z okazji, by sprawdzić stoper Leona i dowiaduje się, że Strażnicy Czasu nie spędzają z nimi dużo czasu, aby zniechęcić złodziei. To skłania Willa do dania Leonowi trochę czasu, aby jego współpracownicy mogli go uratować. Podczas gdy Will i Sylvia uciekają samochodem Leona, Leon zaczyna wychodzić z miasta, a wszyscy wrzeszczą na niego za to, że nie chroni małych ludzi. Na szczęście jego współstrażnik ratuje go, zanim sytuacja stanie się brutalna. Jakiś czas później Sylvia zwraca uwagę, że nie mogą dalej jeździć radiowozem, co podsuwa Willowi pewien pomysł. Udaje strażnika czasu, aby zatrzymać inny samochód przy drodze, a następnie kradną kolczyki bogatej damy i jej czas, zostawiając jej tylko jeden dzień przed ucieczką jej samochodem. Gdy są wystarczająco daleko od miasta, zatrzymują samochód, aby obejrzeć wiadomości i odkrywają, że są poszukiwanymi ludźmi. Will ponownie mówi Sylvii, żeby wróciła, ale ona odmawia, ponieważ robienie tego daje dużo więcej satysfakcji. Tymczasem Weis okłamuje swoich inwestorów, mówiąc im, że wszystko jest pod kontrolą. Pojawia się Leon, aby poinformować go, że to już nie jest porwanie, a Sylvię ściga się jak przestępcę . Weis próbuje przekupić Leona, aby zmienił zdanie, ale Leon odrzuca go i przypomina mu, że jeśli Sylvia się z nim skontaktuje,"
"9"|""|"00:09:17.940"|"00:10:21.180"|"557.94"|"621.18"|"63.24"|"musi powiedzieć strażnikom, w przeciwnym razie zostanie aresztowanyza współudział. Później Sylvia pyta Willa, czy naprawdę oddałby czas, gdyby go miał. Kiedy Will potwierdza, że ​​to zrobi, ona wymyśla plan. Para kradnie ciężarówkę z pieniędzmi Weis i rozbijają ją o bank czasu, gdzie kradną tyle kapsuł czasu, ile tylko mogą. Pozostałe kapsuły pozostawia się do wzięcia mieszkańcom getta. Do czasu przybycia Strażników Czasu nic nie zostało. Wieczorem Greta znajduje wśród prania kapsułę czasu, pozostawioną przez Willa w ramach przeprosin. Odwiedzi też Mayę, która śpi na ulicy i dla niej również zostawia trochę czasu. Pozostały czas, który ukradli, jest przenoszony na Oś Czasu, aby urzędnik mógł go rozdzielić między każdego, kto tego potrzebuje. W biurze sędziów czasowych Leon zauważa, że ​​jest czas, którego nie powinno tam być, i myśli, że Will krzywdzi ludzi, którym próbuje pomóc. Następnego ranka Fortis próbuje okraść mężczyznę, ale facet w końcu może się obronić, bo kupił broń. Fortis udaje, że go puszcza, ale gdy tylko facet się odwraca, i tak go strzela . Kiedy Fortis sprawdza minutnik faceta , jest zszokowany, widząc, że zmarnował dużo czasu. Will i Sylvia zaczynają rabować banki czasu w całym miejscu, a ich przygody pojawiają się w wiadomościach. Weis zastanawia się, czy jego córka próbowała"
